subject,run,raw_events,retained_events,onsets_0_to_600_ok,all_durations_15s,first_equals_previous_last
sub-001,1,41,40,True,True,
sub-001,2,41,40,True,True,True
sub-001,3,41,40,True,True,True
sub-001,4,41,40,True,True,True
sub-001,5,41,40,True,True,True
sub-001,6,41,40,True,True,True
sub-001,7,41,40,True,True,True
sub-001,8,41,40,True,True,True
sub-001,9,41,40,True,True,True
sub-001,10,41,40,True,True,True
sub-001,11,41,40,True,True,True
sub-001,12,41,40,True,True,True
sub-002,1,41,40,True,True,
sub-002,2,41,40,True,True,True
sub-002,3,41,40,True,True,True
sub-002,4,41,40,True,True,True
sub-002,5,41,40,True,True,True
sub-002,6,41,40,True,True,True
sub-002,7,41,40,True,True,True
sub-002,8,41,40,True,True,True
sub-002,9,41,40,True,True,True
sub-002,10,41,40,True,True,True
sub-002,11,41,40,True,True,True
sub-002,12,41,40,True,True,True
sub-003,1,41,40,True,True,
sub-003,2,41,40,True,True,True
sub-003,3,41,40,True,True,True
sub-003,4,41,40,True,True,True
sub-003,5,41,40,True,True,True
sub-003,6,41,40,True,True,True
sub-003,7,41,40,True,True,True
sub-003,8,41,40,True,True,True
sub-003,9,41,40,True,True,True
sub-003,10,41,40,True,True,True
sub-003,11,41,40,True,True,True
sub-003,12,41,40,True,True,True
sub-004,1,41,40,True,True,
sub-004,2,41,40,True,True,True
sub-004,3,41,40,True,True,True
sub-004,4,41,40,True,True,True
sub-004,5,41,40,True,True,True
sub-004,6,41,40,True,True,True
sub-004,7,41,40,True,True,True
sub-004,8,41,40,True,True,True
sub-004,9,41,40,True,True,True
sub-004,10,41,40,True,True,True
sub-004,11,41,40,True,True,True
sub-004,12,41,40,True,True,True
sub-005,1,41,40,True,True,
sub-005,2,41,40,True,True,True
sub-005,3,41,40,True,True,True
sub-005,4,41,40,True,True,True
sub-005,5,41,40,True,True,True
sub-005,6,41,40,True,True,True
sub-005,7,41,40,True,True,True
sub-005,8,41,40,True,True,True
sub-005,9,41,40,True,True,True
sub-005,10,41,40,True,True,True
sub-005,11,41,40,True,True,True
sub-005,12,41,40,True,True,True
