subject,fold,held_out_run,n_train,n_test,accuracy,balanced_accuracy
sub-001,1,1,440,40,0.375,0.375
sub-001,2,2,440,40,0.35,0.35
sub-001,3,3,440,40,0.25,0.25
sub-001,4,4,440,40,0.325,0.325
sub-001,5,5,440,40,0.3,0.3
sub-001,6,6,440,40,0.225,0.225
sub-001,7,7,440,40,0.225,0.225
sub-001,8,8,440,40,0.4,0.4
sub-001,9,9,440,40,0.3,0.3
sub-001,10,10,440,40,0.375,0.375
sub-001,11,11,440,40,0.4,0.4
sub-001,12,12,440,40,0.375,0.375
sub-002,1,1,440,40,0.35,0.35
sub-002,2,2,440,40,0.275,0.275
sub-002,3,3,440,40,0.55,0.55
sub-002,4,4,440,40,0.4,0.4
sub-002,5,5,440,40,0.25,0.25
sub-002,6,6,440,40,0.325,0.325
sub-002,7,7,440,40,0.275,0.275
sub-002,8,8,440,40,0.375,0.375
sub-002,9,9,440,40,0.3,0.3
sub-002,10,10,440,40,0.3,0.3
sub-002,11,11,440,40,0.375,0.375
sub-002,12,12,440,40,0.325,0.325
sub-003,1,1,440,40,0.35,0.35
sub-003,2,2,440,40,0.45,0.45
sub-003,3,3,440,40,0.425,0.425
sub-003,4,4,440,40,0.45,0.45
sub-003,5,5,440,40,0.475,0.475
sub-003,6,6,440,40,0.35,0.35
sub-003,7,7,440,40,0.35,0.35
sub-003,8,8,440,40,0.5,0.5
sub-003,9,9,440,40,0.35,0.35
sub-003,10,10,440,40,0.4,0.4
sub-003,11,11,440,40,0.425,0.425
sub-003,12,12,440,40,0.275,0.275
sub-004,1,1,440,40,0.275,0.275
sub-004,2,2,440,40,0.3,0.3
sub-004,3,3,440,40,0.3,0.3
sub-004,4,4,440,40,0.275,0.275
sub-004,5,5,440,40,0.25,0.25
sub-004,6,6,440,40,0.25,0.25
sub-004,7,7,440,40,0.2,0.2
sub-004,8,8,440,40,0.25,0.25
sub-004,9,9,440,40,0.275,0.275
sub-004,10,10,440,40,0.3,0.3
sub-004,11,11,440,40,0.3,0.3
sub-004,12,12,440,40,0.275,0.275
sub-005,1,1,440,40,0.325,0.325
sub-005,2,2,440,40,0.45,0.45
sub-005,3,3,440,40,0.375,0.375
sub-005,4,4,440,40,0.35,0.35
sub-005,5,5,440,40,0.3,0.3
sub-005,6,6,440,40,0.325,0.325
sub-005,7,7,440,40,0.425,0.425
sub-005,8,8,440,40,0.475,0.475
sub-005,9,9,440,40,0.225,0.225
sub-005,10,10,440,40,0.35,0.35
sub-005,11,11,440,40,0.35,0.35
sub-005,12,12,440,40,0.35,0.35
